value,unit,rawValue
5.0410473952,m/s,0.840174565874203
4.740745262,m/s,0.790124210333567
4.7004608295,m/s,0.783410138248848
3.9167455061,m/s,0.65279091769158
3.8215277566,m/s,0.636921292764061
2.9883724479,m/s,0.498062074648274
3.4076967681,m/s,0.567949461348308
4.3708609272,m/s,0.728476821192053
3.4260078738,m/s,0.571001312295907
4.1767632069,m/s,0.696127201147496
3.8160344249,m/s,0.636005737479782
3.645741142,m/s,0.607623523667104
3.2612079226,m/s,0.54353465376751
3.2227546007,m/s,0.537125766777551
3.404034547,m/s,0.567339091158788
3.0286568804,m/s,0.504776146732994
2.8345591601,m/s,0.472426526688437
2.8492080447,m/s,0.474868007446516
3.5285500656,m/s,0.588091677602466
2.4994659261,m/s,0.416577654347362
3.0249946593,m/s,0.504165776543474
2.2998748741,m/s,0.383312479018525
3.1440168462,m/s,0.524002807702872
2.5983458968,m/s,0.4330576494644
2.7777947325,m/s,0.462965788750877
2.8272347179,m/s,0.471205786309397
1.7432172613,m/s,0.290536210211493
1.5710928678,m/s,0.261848811304056
2.02887051,m/s,0.338145084994049
2.1698660237,m/s,0.361644337290567
2.6075014496,m/s,0.4345835749382
2.1112704855,m/s,0.351878414258248
2.1881771294,m/s,0.364696188238166
1.9556260872,m/s,0.32593768120365
1.9592883084,m/s,0.32654805139317
2.4610126041,m/s,0.410168767357402
2.618488113,m/s,0.43641468550676
2.5727103488,m/s,0.428785058137761
2.8272347179,m/s,0.471205786309397
2.8455458235,m/s,0.474257637256996
3.0286568804,m/s,0.504776146732994
3.5724967193,m/s,0.595416119876705
3.8215277566,m/s,0.636921292764061
3.4131900998,m/s,0.568865016632588
2.8766747032,m/s,0.479445783867916
3.4974211859,m/s,0.582903530991546
3.2996612445,m/s,0.549943540757469
3.8435010834,m/s,0.640583513901181
3.7720877712,m/s,0.628681295205542
3.6787011322,m/s,0.613116855372784
3.017670217,m/s,0.502945036164434
3.0744346446,m/s,0.512405774101993
2.9407635731,m/s,0.490127262184515
2.3474837489,m/s,0.391247291482284
2.9316080203,m/s,0.488601336710715
2.3731192969,m/s,0.395519882808924
2.8070925016,m/s,0.466017639698477
1.9336527604,m/s,0.32227546006653
2.1185949278,m/s,0.353099154637288
1.5143284402,m/s,0.252388073366497
2.2522659993,m/s,0.375377666554766
1.64250618,m/s,0.273751029999695
1.5289773247,m/s,0.254829554124577
3.0542924284,m/s,0.509048738059633
2.937101352,m/s,0.489516891994995
3.2447279275,m/s,0.54078798791467
3.1952879421,m/s,0.532547990356151
3.67137669,m/s,0.611896114993744
3.5322122868,m/s,0.588702047791986
2.8199102756,m/s,0.469985045930357
2.8949858089,m/s,0.482497634815516
3.2868434706,m/s,0.54780724509415
4.1950743126,m/s,0.699179052095096
4.167607654,m/s,0.694601275673696
4.6876430555,m/s,0.781273842585528
4.3873409223,m/s,0.731223487044893
4.0907010102,m/s,0.681783501693777
3.9826654866,m/s,0.663777581102939
2.9407635731,m/s,0.490127262184515
2.8766747032,m/s,0.479445783867916
3.2795190283,m/s,0.54658650471511
3.6732078005,m/s,0.612201300088504
3.5377056185,m/s,0.589617603076266
3.3417767876,m/s,0.556962797936949
2.8858302561,m/s,0.480971709341716
3.0909146397,m/s,0.515152439954833
2.3877681814,m/s,0.397961363567003
2.2650837733,m/s,0.377513962218085
2.283394879,m/s,0.380565813165685
1.884212775,m/s,0.314035462508011
1.64250618,m/s,0.273751029999695
1.6022217475,m/s,0.267036957914975
1.8640705588,m/s,0.310678426465651
1.7542039247,m/s,0.292367320780053
1.7047639393,m/s,0.284127323221534
2.2998748741,m/s,0.383312479018525
2.3859370708,m/s,0.397656178472243
2.1680349132,m/s,0.361339152195807
1.816461684,m/s,0.302743614001892
1.6278572954,m/s,0.271309549241615
1.8274483474,m/s,0.304574724570452
2.016052736,m/s,0.336008789330729
3.44615009,m/s,0.574358348338267
3.191625721,m/s,0.531937620166631
2.937101352,m/s,0.489516891994995
3.4315012055,m/s,0.571916867580187
3.2099368267,m/s,0.534989471114231
2.0325327311,m/s,0.338755455183569
1.3513595996,m/s,0.225226599932859
1.574755089,m/s,0.262459181493576
0.9100619526,m/s,0.151676992095706
1.5161595508,m/s,0.252693258461257
1.3110751671,m/s,0.21851252784814
1.4648884548,m/s,0.244148075807978
