value,unit,rawValue
34.6574297311,DegCelsius,7.46574297311319
34.6147038179,DegCelsius,7.46147038178655
34.5963927122,DegCelsius,7.45963927121799
34.5963927122,DegCelsius,7.45963927121799
34.6024964141,DegCelsius,7.46024964140751
34.6177556688,DegCelsius,7.46177556688131
34.6482741783,DegCelsius,7.46482741782891
34.663533433,DegCelsius,7.46635334330271
34.6391186254,DegCelsius,7.46391186254463
34.6421704764,DegCelsius,7.46421704763939
34.6024964141,DegCelsius,7.46024964140751
34.5536667989,DegCelsius,7.45536667989135
34.5078890347,DegCelsius,7.45078890346996
34.489577929,DegCelsius,7.4489577929014
34.4468520157,DegCelsius,7.44468520157476
34.4041261025,DegCelsius,7.44041261024812
34.3858149968,DegCelsius,7.43858149967956
34.3614001892,DegCelsius,7.43614001892148
34.3400372326,DegCelsius,7.43400372325816
34.315622425,DegCelsius,7.43125705740532
34.315622425,DegCelsius,7.43156224250008
34.315622425,DegCelsius,7.43156224250008
34.3217261269,DegCelsius,7.4321726126896
34.3247779778,DegCelsius,7.43247779778436
34.3614001892,DegCelsius,7.43614001892148
34.3919186987,DegCelsius,7.43919186986908
34.4193853572,DegCelsius,7.44193853572192
34.4285409101,DegCelsius,7.4428540910062
34.4438001648,DegCelsius,7.44438001648
34.4438001648,DegCelsius,7.44438001648
34.4743186743,DegCelsius,7.4474318674276
34.5078890347,DegCelsius,7.45078890346996
34.550614948,DegCelsius,7.45506149479659
34.5689260537,DegCelsius,7.45689260536515
34.5963927122,DegCelsius,7.45963927121799
34.6147038179,DegCelsius,7.46147038178655
34.6269112217,DegCelsius,7.46269112216559
34.6391186254,DegCelsius,7.46391186254463
34.6604815821,DegCelsius,7.46604815820795
34.7062593463,DegCelsius,7.47062593462935
34.7306741539,DegCelsius,7.47306741538743
34.7520371105,DegCelsius,7.47520371105075
34.7764519181,DegCelsius,7.47764519180883
34.7764519181,DegCelsius,7.47764519180883
34.7764519181,DegCelsius,7.47764519180883
34.7764519181,DegCelsius,7.47764519180883
34.7672963652,DegCelsius,7.47672963652455
34.7886593219,DegCelsius,7.47886593218787
34.7886593219,DegCelsius,7.47886593218787
34.8100222785,DegCelsius,7.48100222785119
34.7764519181,DegCelsius,7.47764519180883
34.7489852596,DegCelsius,7.47489852595599
34.7184667501,DegCelsius,7.47184667500839
34.6940519425,DegCelsius,7.46940519425031
34.6757408368,DegCelsius,7.46757408368175
34.6726889859,DegCelsius,7.46726889858699
34.6940519425,DegCelsius,7.46940519425031
34.7062593463,DegCelsius,7.47062593462935
34.7062593463,DegCelsius,7.47062593462935
34.7306741539,DegCelsius,7.47306741538743
34.7459334086,DegCelsius,7.47459334086123
34.7947630238,DegCelsius,7.47947630237739
34.8252815332,DegCelsius,7.48252815332499
34.8741111484,DegCelsius,7.48741111484115
34.8863185522,DegCelsius,7.48863185522019
34.8649555956,DegCelsius,7.48649555955687
34.8588518937,DegCelsius,7.48588518936735
34.8588518937,DegCelsius,7.48588518936735
34.837488937,DegCelsius,7.48374889370403
34.8191778314,DegCelsius,7.48191778313547
34.7978148747,DegCelsius,7.47978148747215
34.7550889615,DegCelsius,7.47550889614551
34.7367778558,DegCelsius,7.47367778557695
34.7306741539,DegCelsius,7.47306741538743
34.7367778558,DegCelsius,7.47367778557695
34.7520371105,DegCelsius,7.47520371105075
34.7184667501,DegCelsius,7.47184667500839
34.6879482406,DegCelsius,7.46879482406079
34.663533433,DegCelsius,7.46635334330271
34.6452223273,DegCelsius,7.46452223273415
34.6177556688,DegCelsius,7.46177556688131
