value,unit,rawValue
194.035462508,degrees,5.38987395855586
196.7162083804,degrees,5.4643391216773
189.6407971435,degrees,5.26779992065188
204.0333262123,degrees,5.66759239478744
197.2325815607,degrees,5.47868282113102
213.3060701315,degrees,5.92516861476486
213.3060701315,degrees,5.92516861476486
193.9365825373,degrees,5.38712729270302
187.3885311441,degrees,5.20523697622608
200.5835139012,degrees,5.57176427503281
200.0781273843,degrees,5.55772576067385
189.6298104801,degrees,5.26749473555712
189.9374370556,degrees,5.27603991821039
212.3062837611,degrees,5.8973967711417
213.8993499557,degrees,5.94164860988189
198.0126346629,degrees,5.50035096285897
208.8674581133,degrees,5.80187383648183
195.3758354442,degrees,5.42710654011658
196.4525284585,degrees,5.45701467940306
211.2515640736,degrees,5.86809900204474
211.8887905515,degrees,5.88579973754082
215.2836695456,degrees,5.98010193182165
236.2572099979,degrees,6.56270027771844
224.8640400403,degrees,6.24622333445235
244.6510208441,degrees,6.79586169011506
238.718222602,degrees,6.63106173894467
224.1169469283,degrees,6.22547074800867
236.2681966613,degrees,6.5630054628132
244.1895809809,degrees,6.78304391613514
235.2903836177,degrees,6.53584398937956
244.8927274392,degrees,6.80257576219977
223.8642536699,degrees,6.21845149082919
184.8396252327,degrees,5.13443403424177
245.5958738975,degrees,6.82210760826441
207.977538377,degrees,5.77715384380627
215.2726828822,degrees,5.97979674672689
205.9230323191,degrees,5.72008423108615
173.1388286996,degrees,4.8094119083224
175.1274147771,degrees,4.86465041047395
164.4923245949,degrees,4.5692312387463
170.3372295297,degrees,4.73158970915861
187.410504471,degrees,5.2058473464156
224.2707602161,degrees,6.22974333933531
206.8459120457,degrees,5.74571977904599
209.0432447279,degrees,5.80675679799799
207.4391918699,degrees,5.76219977416303
189.6298104801,degrees,5.26749473555712
232.8513443403,degrees,6.46809289834285
231.1044648579,degrees,6.41956846827601
209.0871913816,degrees,5.80797753837703
240.1684621723,degrees,6.67134617145299
232.8623310038,degrees,6.4683980834376
219.1070284127,degrees,6.08630634479812
236.6417432173,degrees,6.57338175603504
249.2434461501,degrees,6.92342905972472
202.5720999786,degrees,5.62700277718436
211.0428174688,degrees,5.8623004852443
203.2862331004,degrees,5.64683980834376
203.7916196173,degrees,5.66087832270272
185.9822382275,degrees,5.16617328409681
