"","name","date","mean","sitename","greenhouse","city","cultivar_id","site_id"
"48","height",2016-09-13 19:00:00,78.436,"MAC Field Scanner Field Plot 86 Season 2",FALSE,"Maricopa",6000000313,6000002682
"49","height",2016-09-10 19:00:00,68.521,"MAC Field Scanner Field Plot 686 Season 2",FALSE,"Maricopa",6000000313,6000003282
"50","height",2016-08-14 19:00:00,31.505,"MAC Field Scanner Field Plot 687 Season 2",FALSE,"Maricopa",6000000313,6000003283
"51","height",2016-09-10 19:00:00,68.521,"MAC Field Scanner Field Plot 687 Season 2",FALSE,"Maricopa",6000000313,6000003283
"52","height",2016-09-25 19:00:00,83.063,"MAC Field Scanner Field Plot 687 Season 2",FALSE,"Maricopa",6000000313,6000003283
"53","height",2016-08-14 19:00:00,31.505,"MAC Field Scanner Field Plot 695 Season 2",FALSE,"Maricopa",6000000314,6000003291
"54","height",2016-09-10 19:00:00,69.182,"MAC Field Scanner Field Plot 695 Season 2",FALSE,"Maricopa",6000000314,6000003291
"55","height",2016-09-24 19:00:00,82.402,"MAC Field Scanner Field Plot 695 Season 2",FALSE,"Maricopa",6000000314,6000003291
"56","height",2016-09-25 19:00:00,83.724,"MAC Field Scanner Field Plot 695 Season 2",FALSE,"Maricopa",6000000314,6000003291
"57","height",2016-08-14 19:00:00,32.166,"MAC Field Scanner Field Plot 694 Season 2",FALSE,"Maricopa",6000000314,6000003290
"58","height",2016-09-10 19:00:00,67.86,"MAC Field Scanner Field Plot 694 Season 2",FALSE,"Maricopa",6000000314,6000003290
"59","height",2016-09-24 19:00:00,83.724,"MAC Field Scanner Field Plot 694 Season 2",FALSE,"Maricopa",6000000314,6000003290
"60","height",2016-09-25 19:00:00,83.724,"MAC Field Scanner Field Plot 694 Season 2",FALSE,"Maricopa",6000000314,6000003290
"61","height",2016-08-25 19:00:00,32.827,"MAC Field Scanner Field Plot 517 Season 2",FALSE,"Maricopa",6000000315,6000003113
"62","height",2016-09-27 19:00:00,83.724,"MAC Field Scanner Field Plot 390 Season 2",FALSE,"Maricopa",6000000318,6000002986
"63","height",2016-09-10 19:00:00,55.962,"MAC Field Scanner Field Plot 391 Season 2",FALSE,"Maricopa",6000000318,6000002987
"64","height",2016-09-27 19:00:00,84.385,"MAC Field Scanner Field Plot 391 Season 2",FALSE,"Maricopa",6000000318,6000002987
"65","height",2016-09-03 19:00:00,32.827,"MAC Field Scanner Field Plot 245 Season 2",FALSE,"Maricopa",6000000320,6000002841
"66","height",2016-09-08 19:00:00,56.623,"MAC Field Scanner Field Plot 245 Season 2",FALSE,"Maricopa",6000000320,6000002841
"67","height",2016-09-03 19:00:00,33.488,"MAC Field Scanner Field Plot 244 Season 2",FALSE,"Maricopa",6000000320,6000002840
"68","height",2016-09-08 19:00:00,57.945,"MAC Field Scanner Field Plot 244 Season 2",FALSE,"Maricopa",6000000320,6000002840
"69","height",2016-09-02 19:00:00,34.149,"MAC Field Scanner Field Plot 539 Season 2",FALSE,"Maricopa",6000000320,6000003135
"70","height",2016-09-02 19:00:00,32.827,"MAC Field Scanner Field Plot 538 Season 2",FALSE,"Maricopa",6000000320,6000003134
"71","height",2016-09-07 19:00:00,57.945,"MAC Field Scanner Field Plot 538 Season 2",FALSE,"Maricopa",6000000320,6000003134
"72","height",2016-09-10 19:00:00,63.233,"MAC Field Scanner Field Plot 538 Season 2",FALSE,"Maricopa",6000000320,6000003134
