name,date,mean,sitename
plant_height,2014-06-11T18:46:51Z,877,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-12T18:08:20Z,761,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-11T20:38:40Z,448,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-11T23:08:48Z,168,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-05T18:25:21Z,114,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-05T18:18:46Z,135,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-03T19:03:55Z,44,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-03T19:12:22Z,73,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T20:42:27Z,676,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T20:41:30Z,662,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T21:38:46Z,421,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T22:50:08Z,390,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-18T22:40:54Z,867,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-12T21:59:16Z,360,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-19T18:25:25Z,1267,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-19T18:12:14Z,1429,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-19T18:42:50Z,1667,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-19T19:02:11Z,899,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-18T23:15:46Z,648,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-18T19:23:44Z,1087,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-16T20:42:25Z,735,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T19:00:54Z,790,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-14T18:47:46Z,667,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-09T19:29:44Z,238,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-13T23:09:15Z,273,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-23T23:01:40Z,1350,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-23T21:49:32Z,957,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-19T18:11:11Z,1328,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-23T23:04:29Z,1040,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-20T19:25:37Z,1012,Danforth Plant Science Center Bellweather Phenotyping Facility
plant_height,2014-06-20T19:52:04Z,784,Danforth Plant Science Center Bellweather Phenotyping Facility
