name,date,mean,sitename,greenhouse,city,cultivar_id
canopy_height,2016-06-23T07:00:00Z,140,MAC Field Scanner Season 1 Field Plot 147 W,FALSE,Maricopa,6000000006
canopy_height,2016-06-23T07:00:00Z,150,MAC Field Scanner Season 1 Field Plot 169 E,FALSE,Maricopa,6000000086
canopy_height,2016-06-23T07:00:00Z,143,MAC Field Scanner Season 1 Field Plot 169 W,FALSE,Maricopa,6000000086
canopy_height,2016-06-23T07:00:00Z,150,MAC Field Scanner Season 1 Field Plot 170 E,FALSE,Maricopa,6000000046
canopy_height,2016-06-23T07:00:00Z,141,MAC Field Scanner Season 1 Field Plot 170 W,FALSE,Maricopa,6000000046
canopy_height,2016-06-23T07:00:00Z,135,MAC Field Scanner Season 1 Field Plot 190 E,FALSE,Maricopa,6000000035
canopy_height,2016-06-23T07:00:00Z,134,MAC Field Scanner Season 1 Field Plot 190 W,FALSE,Maricopa,6000000035
canopy_height,2016-06-23T07:00:00Z,138,MAC Field Scanner Season 1 Field Plot 188 W,FALSE,Maricopa,6000000077
canopy_height,2016-06-23T07:00:00Z,141,MAC Field Scanner Season 1 Field Plot 188 E,FALSE,Maricopa,6000000077
canopy_height,2016-06-23T07:00:00Z,160,MAC Field Scanner Season 1 Field Plot 187 E,FALSE,Maricopa,6000000066
canopy_height,2016-06-23T07:00:00Z,154,MAC Field Scanner Season 1 Field Plot 187 W,FALSE,Maricopa,6000000066
canopy_height,2016-06-23T07:00:00Z,127,MAC Field Scanner Season 1 Field Plot 186 W,FALSE,Maricopa,6000000011
canopy_height,2016-06-23T07:00:00Z,125,MAC Field Scanner Season 1 Field Plot 186 E,FALSE,Maricopa,6000000011
canopy_height,2016-06-23T07:00:00Z,127,MAC Field Scanner Season 1 Field Plot 182 W,FALSE,Maricopa,6000000096
canopy_height,2016-06-23T07:00:00Z,160,MAC Field Scanner Season 1 Field Plot 201 E,FALSE,Maricopa,6000000109
canopy_height,2016-06-23T07:00:00Z,168,MAC Field Scanner Season 1 Field Plot 201 W,FALSE,Maricopa,6000000109
canopy_height,2016-06-23T07:00:00Z,155,MAC Field Scanner Season 1 Field Plot 202 E,FALSE,Maricopa,6000000035
canopy_height,2016-06-23T07:00:00Z,160,MAC Field Scanner Season 1 Field Plot 202 W,FALSE,Maricopa,6000000035
canopy_height,2016-06-23T07:00:00Z,143,MAC Field Scanner Season 1 Field Plot 204 W,FALSE,Maricopa,6000000037
canopy_height,2016-06-23T07:00:00Z,128,MAC Field Scanner Season 1 Field Plot 207 W,FALSE,Maricopa,6000000074
